text	text ru/en	count
немедленный	немедленный	6
нелегитимный	нелегитимный	4
нелегитимные	нелегитимные	2
незаконный	незаконный	11
невиданный	невиданный	14
небывалый	небывалый	4
нато	нато	2
население	население	2
нарушение	нарушение	3
нарушать	нарушать	3
народ	народ	2
направить	направить	2
наложить	наложить	3
наказание	наказание	2
набиуллина	набиуллина	2
мьянма	мьянма	2
мощный	мощный	4
мост	мост	2
москва	москва	48
мкс	мкс	2
мишустин	мишустин	7
митрополит	митрополит	2
мир	мир	10
минск	минск	5
министр	министр	2
милорад	милорад	2
мид	мид	7
меч	меч	2
метод	метод	3
металлургия	металлургия	3
металлург	металлург	3
место	место	3
международный	международный	5
медиакомпаний	медиакомпаний	2
медведев	медведев	4
масштабный	масштабный	32
масштаб	масштаб	2
мария	мария	3
мали	мали	2
любой	любой	15
лукашенко	лукашенко	2
лондон	лондон	6
лнр	лнр	4
личный	личный	2
лицо	лицо	24
литва	литва	5
лёгкий	лёгкий	2
лднр	лднр	3
лавр	лавр	2
куба	куба	2
крым	крым	2
кризис	кризис	5
край	край	2
конгрессмен	конгрессмен	2
конгресс	конгресс	2
компания	компания	40
кнр	кнр	3
кндр	кндр	26
киев	киев	3
канал	канал	5
канадский	канадский	4
калечить	калечить	2
калечащими	калечащими	2
какой	какой	3
кабаевой	кабаевой	3
италия	италия	2
иран	иран	3
интер	интер	2
иностранный	иностранный	3
иностранец	иностранец	3
иносми	иносми	2
инквизиция	инквизиция	3
индивидуальный	индивидуальный	2
импорт	импорт	12
иванишвили	иванишвили	2
зюганов	зюганов	2
золото	золото	26
зеркальный	зеркальный	2
зеленского	зеленского	13
зеленским	зеленским	2
зеландия	зеландия	4
звезда	звезда	2
захаров	захаров	4
затронуть	затронуть	2
зарубежный	зарубежный	8
запуск	запуск	2
запрет	запрет	3
западный	западный	255
зампред	зампред	3
журналист	журналист	3
жизнь	жизнь	8
жёсткий	жёсткий	93
жена	жена	6
ждать	ждать	2
ер	ер	2
европейский	европейский	16
европеец	европеец	4
европа	европа	22
дурацкий	дурацкий	2
дубинка	дубинка	2
дочка	дочка	2
доход	доход	9
дополнительный	дополнительный	28
донбасс	донбасс	5
долг	долг	4
днр	днр	18
дмитрий	дмитрий	3
дизайнер	дизайнер	2
диалог	диалог	2
депутат	депутат	42
депозитарий	депозитарий	4
действие	действие	3
дальнейший	дальнейший	3
давление	давление	4
грузия	грузия	3
греф	греф	5
граница	граница	3
гражданин	гражданин	30
готовящихся	готовящихся	2
готовиться	готовиться	4
господь	господь	2
госдолг	госдолг	3
год	год	2
главный	главный	2
глава	глава	5
германия	германия	11
газпромбанк	газпромбанк	4
газпром	газпром	2
газопровод	газопровод	2
газ	газ	17
вызов	вызов	2
вучич	вучич	3
вуз	вуз	3
вторичный	вторичный	6
втб	втб	11
вступление	вступление	3
впк	впк	3
восток	восток	2
воровство	воровство	2
володин	володин	2
водка	водка	2
витязь	витязь	2
визовый	визовый	8
видео	видео	3
венгрия	венгрия	4
великобритания	великобритания	13
ввп	ввп	9
вводить	вводить	3
ввести	ввести	50
ввёл	ввёл	3
введённых	введённых	3
вашингтон	вашингтон	2
бумеранг	бумеранг	4
будущий	будущий	3
будущее	будущее	2
британский	британский	8
британия	британия	10
бомба	бомба	13
большинство	большинство	2
боль	боль	3
болезнь	болезнь	2
болезненный	болезненный	6
блокировать	блокировать	24
блогер	блогер	3
бизнесмен	бизнесмен	3
бизнес	бизнес	10
бидзина	бидзина	2
беспрецедентный	беспрецедентный	16
белоруссия	белоруссия	7
безумный	безумный	2
безопасность	безопасность	3
безболезненный	безболезненный	2
банковский	банковский	2
банк	банк	88
байдену	байдену	2
байдена	байдена	28
аэрофлот	аэрофлот	31
артемий	артемий	4
апрель	апрель	8
антироссийский	антироссийский	1348
анонсированных	анонсированных	3
американский	американский	47
альф	альф	4
алина	алина	4
адский	адский	46
адрес	адрес	6
ад	ад	2
авиация	авиация	3
авиационный	авиационный	6
авиаотрасли	авиаотрасли	5
авиакомпания	авиакомпания	14
абрамович	абрамович	5
youtube	youtube	7
wsj	wsj	8
wp	wp	3
nord	nord	4
ni	ni	2
hronika	hronika	3
google	google	2
global	global	2
facebook	facebook	3
faberlic	faberlic	2
bloomberg	bloomberg	3
apple	apple	2
