Date,text,event,Decription ,Source,santions,sanctions-general,sanctions-swift,sanctions-foreign,sanctions-nordstream,sanctions-gas,sanctions-food,cold_war_ii-nuclear,cold_war_ii-armament_pump,cold_war_ii-armament_suply,cold_war_ii-biolab,cold_war_ii-china,cold_war_ii-serb,cold_war_ii-belarus,cold_war_ii-colab-alies,nazi-general,nazi-denazification,nazi-mariupol,nazi-bucha,nazi-atrocity,nazi-rehabilitation,nazi-azov,nazi-azovstal,Protecting the Russian World,Ukrainian crisis,self-cleansing from public enemies,5 High-Precision,5 Provocation
2022.02.18,"Feb, 18. In eastern Ukraine, it was announces evacuation of residents to Russia",Evacuation from Donetsk to Russia,,"https://www.theguardian.com/world/2022/feb/18/pro-russian-separatist-order-mass-evacuation-eastern-ukraine-fear-moscow-seeking-create-pretext-invasion

https://www.npr.org/2022/02/18/1081790784/ukraine-evacuation-russia-donetsk",,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2022.02.19,"Feb,19. Zelenkiy mentioned that Ukraine could reconsider its non-nuclear status at the Munich Security Conference.",Zelensky speech at the Munich Security Conference,Zelenky mentioned that Ukraine could reconsider the non-nuclear status,https://kyivindependent.com/national/zelenskys-full-speech-at-munich-security-conference,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022.02.19,,Start of general mobilisation in the DNR,"The general mobilization in Donbass started. ""LPR"" introduced a wartime regime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.21,"Mar, 21. Russian President Vladimir Putin has recognized the independence of two breakaway regions in eastern Ukraine - LNR and DNR",Russia recognized the independence of the DNR and LNR,"Russian President Vladimir Putin orders troops into the regions of Luhansk and Donetsk, and recognises them as independent states.","https://www.aljazeera.com/features/2022/6/3/timeline-the-first-100-days-of-russias-war-in-ukraine#:~:text=April%2010%3A%20Russian%20forces%20bisect,the%20Luhansk%20and%20Donetsk%20oblasts.",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2022.02.21,"Feb, 21. Sanctions Wave #1 for recognition of separatist enclaves: NordStream 2, defence industry, MPs, propagandists","First round of sanctions is introduced in connection with the recognition of the DNR and LNR: Sanctions against the defense industry, Nord Stream 2, personal sanctions against MPs, propagandists and others.",,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%B2%D1%8F%D0%B7%D0%B8_%D1%81_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022)#%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BF%D0%B0%D0%BA%D0%B5%D1%82_%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.22,"Feb, 22. The federal government of Germany has put the approval process for the Nord Stream 2 gas pipeline on hold until further notice.",,,https://www.tagesschau.de/wirtschaft/weltwirtschaft/nord-stream-2-russland-deutschland-gas-101.html,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2022.02.24,"Feb, 24.  President Putin announced the start of a ""special military operation in the Donbass. 
Russia's full-scale invasion of Ukraine have started.",Russia's full-scale invasion of Ukraine,"05:00 On the night of February 24, Russian President Vladimir Putin announced the start of a ""special military operation in the Donbass. 

Battle of Chernobyl,  
nuclear power plant capture
Airstrikes against Odesa
Железнодорожные пути и мост через Припять были взорваны
Бои за Сумы
Бои на Змеинном острове","https://en.wikipedia.org/wiki/Capture_of_Chernobyl#Attack_and_capture
https://www.aljazeera.com/news/2022/2/24/putin-orders-military-operations-in-eastern-ukraine-as-un-meets",,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1
2022.02.24,"Feb, 24. Sanctions Wave #2 for the invasion of Ukraine: personal, banking, investments",,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%B2%D1%8F%D0%B7%D0%B8_%D1%81_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022)#%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BF%D0%B0%D0%BA%D0%B5%D1%82_%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83)),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.24,,Antiwar Protests in Russia began,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.25,,"Fighting in Ukraine","Russian detachments enter the northern region of Kyiv Obolon. Sirens in Kyiv
Chernihiv was surrounded by Russian military
The first clashes between Ukrainian troops and Russian special forces took place in Bucha
In Mykolaiv, Russian troops capture enterprised. Residents confirm that shooting has begun in the city.
Fightings for Melitopol have started
Bombing of Sumy
Night fighting near Kyiv
 Russia vetoes a United Nations Security Council resolution demanding that it unconditionally pull its troops out of Ukraine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.26,"Feb, 26. Sanctions Wave #3: personal, banking, stock exchange, industrial, mass media, partial airspace and ports closure","Third round of sanctions is introduced: banking, stock exchange and industrial restrictions, banning of Russian media, partial closure of skies, ports, personal sanctions. ",,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%B2%D1%8F%D0%B7%D0%B8_%D1%81_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022)#%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BF%D0%B0%D0%BA%D0%B5%D1%82_%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.26,"Feb, 26. US, EU, UK, Canada announced disconnection of several banks from SWIFT","U.S., E.U., U.K. and Canada have announced the disconnection of a number of banks from Swift",,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/sanctions-against-russia-8211-a-timeline-69602559,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.26,,Russian troops captured the Port of Berdiansk,"Russian troops captured the Port of Berdiansk and the Berdiansk Airport. By the following day, the Russian military had taken full control of the city. The city still on russian occupation","https://www.aljazeera.com/features/2022/6/3/timeline-the-first-100-days-of-russias-war-in-ukraine#:~:text=April%2010%3A%20Russian%20forces%20bisect,the%20Luhansk%20and%20Donetsk%20oblasts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.26,"Feb,26. Germany's Chancellor, Olaf Scholz, has announced that Germany will deliver weapons directly to Ukraine.",,,https://www.bbc.com/news/world-europe-60541752,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2022.02.27,"Feb, 27. The EU is set to enforce a ban on Russia’s access to the SWIFT international payments system after the last holdout among the EU27, Germany, dropped its opposition in principle",,"Russian troops press towards three cities, Kyiv, Kharkiv and Kherson. European Commission President Ursula von der Leyen says Russian civilian aircraft are banned from EU airspace, and Russian state-owned media Russia Today, Sputnik and their subsidiaries are banned from EU airwaves and the internet.",https://www.euractiv.com/section/europe-s-east/news/russia-ban-from-swift-on-the-table-as-germany-drops-opposition/,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.27,,attacks on the civilian airport of Zhytomyr,"The airport is situated around 150 kilometres (93 mi) from the capital city of Ukraine, Kyiv, near the town of Zhytomyr, Zhytomyr Oblast.",https://twitter.com/KyivIndependent/status/1498178611916034054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.02.28,,Kharkiv cluster bombing,"Around 10:00 AM, the Russian Army fired Grad rockets into three different residential areas in Kharkiv. A series of rocket strikes  killed 9 civilians and wounded 37 more during the battle of Kharkiv, part of the 2022 Russian invasion of Ukraine. The Russian Army used cluster munition in the attack.",https://en.wikipedia.org/wiki/February_2022_Kharkiv_cluster_bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.02.28,"Feb,28. Negotiations between Ukraine and Russia started in Belarus
",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
2022.03.01,"Mar, 1. Siege of Mariupol have started. It was announced that DPR forces has almost completely surrounded the nearby cities and Mariupol.",Start of the Mariupol siege,"Russian forces surround Mariupol. The siege was conitinued until May 22, including Azovstal siege. The siege of Mariupol was accompanied by thousands of civilians, the lack of water, gas, food, and humanitarian corridors.","https://www.bbc.com/news/world-europe-61179093
https://en.wikipedia.org/wiki/Siege_of_Mariupol#Civilian_casualties",,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,
2022.03.01,,Russian forces attack a TV tower in Kyiv,,https://www.hindustantimes.com/world-news/russia-attacks-tv-tower-in-kyiv-may-disrupt-signal-says-ukraine-ministry-101646149730099.html,,,,,,,,,,,,,,,,,,,,,,,,,,,?,
2022.03.02,"Mar, 2. Russian military took control of city of Kherson, administrative centre of Kherson Oblast",Kherson under control of russian forces,"Mayor of Kherson Kolykhaiev announced that he had surrendered the city and that the Russian commander intended to set up a military administration. Kolykhaiev acknowledged the Ukrainian military was no longer present in Kherson. After the fall of the city, Kherson and the Kherson Oblast came under a Russian military occupation.","https://www.aljazeera.com/news/2022/3/2/russian-military-says-has-control-of-kherson-in-southern-ukraine
https://en.wikipedia.org/wiki/Battle_of_Kherson",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2022.03.02,"Mar, 3. EU disconnects 7 Russian banks from SWIFT",EU names 7 banks to be disconnected from Swift,,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/sanctions-against-russia-8211-a-timeline-69602559,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.03,,Bombing of Chernihiv,"About 12:15 p.m. local time, Russian forces destroyed two schools and several apartment blocks in Chernihiv, killing 47 civilians and wounding 18",https://www.pravda.com.ua/eng/news/2022/03/4/7328111/,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2022.03.04,,"The law about ""fakes"" was accepted",Vladimir Putin signed a law criminalizing dissemination of information about the actions of the Russian army that does not correspond to the position of the authorities,"https://www.thehindu.com/news/international/explained-russias-new-law-criminalising-fake-news-about-the-military-and-its-consequences/article65195488.ece
 https://reliefweb.int/report/russian-federation/russia-criminalizes-independent-war-reporting-anti-war-protests",,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022.03.04,,Fire at the seized Zaporizhzhia NPP,"At the beginning of March 2022, Russian troops seized Ukraine's Zaporizhzhia NPP. On March 4, mutual shelling caused a fire at the plant.
Most of the Russian fire was directed towards the training center and main administrative building, but Russian forces also fired heavy weapons in the direction of the reactor buildings multiple times. During approximately two hours of heavy fighting a fire broke out in a training facility outside of the main complex, which was extinguished by 6:20 am","https://en.wikipedia.org/wiki/Russian_occupation_of_Zaporizhzhia_Oblast
https://www.bbc.com/news/world-europe-62432873",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.05,"Mar, 5. Russian forces shell evacuation corridor from Mariupol.", Russian forces shell evacuation corridor from Mariupol.,"A five-hour ceasefire was declared, but evacuations were quickly halted after shelling continued during the declared time. On 7 March, the ICRC announced that it had found that one of the routes listed for evacuations during a ceasefire had been mined.",https://www.pravda.com.ua/eng/news/2022/03/5/7328483/,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,
2022.03.05,,Bucha under control of russian forces,"Since 5 to 31 March, Bucha, city in tKyiv region, was under contol of Russian forcses. After they left the city, the was a found a lot of corpses of civilians on the streets and mass graves.","https://globalnews.ca/news/8733345/bucha-bodies-ukraine-what-happened-explained/
https://en.wikipedia.org/wiki/Bucha_massacre",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.06,,Irpin refugee column shelling,"from 9:30 a.m. until 2 p.m. local time, the Russian Armed Forces repeatedly shelled an intersection in Irpin that hundreds of civilians were using to escape to Kyiv, whilst a Ukrainian artillery position was located nearby. They killed eight Ukrainian civilians.","https://en.wikipedia.org/wiki/Irpin_refugee_column_shelling#:~:text=On%206%20March%202022%2C%20from,They%20killed%20eight%20Ukrainian%20civilians.",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.08,,Ukraine accuses Russia of shelling Mariupol evacuation corridor,,https://www.aljazeera.com/news/2022/3/8/ukraine-accuses-russia-shelling-mariupol-evacuation-corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.08,,Izium hospital bombing,"Russian forces bombed a hospital in Izium, which was totally destroyed",https://news.sky.com/video/ukraine-war-izyum-hospital-destroyed-by-shelling-12560771,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.09,"Mar, 9.The Russian Air Force bombed Maternity Hospital No 3, a hospital complex functioning both as a children's hospital and maternity ward in Mariupol.",Mariupol hospital airstrike,"On 9 March 2022, the Russian Air Force bombed Maternity Hospital No 3, a hospital complex functioning both as a children's hospital and maternity ward in Mariupol, Ukraine. Foreign Minister of the Russian Federation Sergey Lavrov, without denying the shelling of the hospital by Russian troops, said that the hospital building served as a stronghold for the Ukrainian regiment ""Azov""","https://edition.cnn.com/interactive/2022/03/europe/mariupol-maternity-hospital-attack/index.html
https://en.wikipedia.org/wiki/Mariupol_hospital_airstrike
https://factcheck.thedispatch.com/p/fact-check-the-mariupol-maternity",,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,
2022.03.09,"Mar, 9. Personal sanctions against russian fertilizer billionnaire Andrey Melnichenko",Personal sanctions against russian fertilizer billionnaire Andrey Melnichenko,"Among those hit with sanctions, which include asset freezes and a travel ban, is Andrey Melnichenko, who has built a fortune in fertilizer and coal worth $16.2 billion, by Forbes’ estimate.",https://www.forbes.com/sites/carlieporterfield/2022/03/09/eu-targets-four-more-russian-billionaires-in-latest-wave-of-sanctions/?sh=2c57100d5142,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2022.03.09,"Mar, 9. Statement on the possible nationalization of foreign companies' assets",Statement on the possibility of nationalizing the assets of foreign companies,"Russian officials have said that they will move to nationalize the assets of Western companies that pull out of their country over its invasion of Ukraine, a decision that will cause significant economic harm to hundreds of businesses while, at least temporarily, preserving the jobs of the tens of thousands of Russians employed by them.","https://www.voanews.com/a/putin-threatens-to-privatize-western-companies-that-exit-russia-/6485253.html 

",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.09,,Rape ,Russian soldier had killed an unarmed civilian and then repeatedly raped his wife.The incident is supposed to have taken place on 9 March in Shevchenkove,https://thehill.com/policy/international/russia/600247-ukraine-opens-first-investigation-into-claims-of-rape-by-russian/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.09,,Обесточение Чернобольской АЭС,"уточнить. На хранилище отработанного ядерного топлива – 1 хранится около 20 тысяч отработанных топливных сборок. Они нуждаются в постоянном охлаждении, которое возможно только при наличии электроснабжения. Если же его не будет и насосы не будут производить охлаждение, возрастет температура в бассейнах выдержки, возникнет парение и выход радиоактивных веществ в окружающую среду. ","https://www.epravda.com.ua/rus/news/2022/03/9/683608/#:~:text=%D0%92%20%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B5%20%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D0%B9%20%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D1%85%20%D0%BE%D0%BA%D0%BA%D1%83%D0%BF%D0%B0%D0%BD%D1%82%D0%BE%D0%B2,%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D0%BD%D1%8B%D0%B5%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20%D0%B8%20%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%BE%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.
https://forbes.ua/ru/news/chornobilska-aes-znestrumlena-cherez-voenni-dii-09032022-4401",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.10,"March,10. The Ministry of Defense of the Russian Federation published documents on the implementation of US military biological programs in Ukraine ",Russian forces found biolaboratories in Ukraine,,https://tvzvezda.ru/news/20223101725-JxwhT.html,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2022.03.10,,First step Ukraine-Russia negotiations,"The top diplomats of Russia and Ukraine met in Antalya, Turkey for face-to-face talks, the first high-level contact since Russia’s invasion on February 24. No progress was made.",https://www.aljazeera.com/news/2022/3/10/russia-invasion-of-ukraine-list-of-key-events-from-day-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.10,,,"A day after coal and fertilizer billionaire Andrey Melnichenko was placed on the European Union's sanctions list on March 9, his superyacht Motor Yacht A stopped broadcasting its location while in Maldives' waters, maritime data shows.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.11,,"United States, European Union, and G7 to Announce Further Economic Costs on Russia",,https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/11/fact-sheet-united-states-european-union-and-g7-to-announce-further-economic-costs-on-russia/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.11,,"In Chernihiv, Russian military bombs destroyed the stadium named after. Yuri Gagarin","Since the invasion have started, there was fighting between Russian and Ukrainian armed forces for control of the city of Chernihiv. It ended on April 6, 2022 with the withdrawal of Russian troops from the Chernihiv region.  
in addition to this event, Chernihiv was heavily damaged and civilians also died during the invasion. ",https://www.newyorker.com/news/dispatch/the-siege-of-chernihiv,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.13,,Mykolaiv cluster bombing,Nine civilians waiting in line on the street at a cash machine were killed in the attack. The explosions also damaged houses and civilian buildings. Human Rights Watch analysed the incident and found that the Russian forces used Smerch and Uragan cluster munition on densely populated areas,https://en.wikipedia.org/wiki/Mykolaiv_cluster_bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.14,,A fourth round of talks between Ukraine and Russia concluded without a breakthrough,,https://www.npr.org/2022/03/14/1086498789/russian-and-ukrainian-negotiators-finish-4th-round-of-talks-without-a-breakthrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.14,,Russian occupying forces block people's protests in Melitopol,"Fighting in Melitopol continued from the beginning of the invasion on 24 February. In early March, the city was captured by the Russian military, and the Russian flag was raised over the administration. All this time, residents of the city went out to peaceful protests against the Russian authorities. On March 11, the mayor of the city was kidnapped by the Russian military. Now the city is under the control of the Russian military","https://www.pravda.com.ua/eng/news/2022/03/14/7331297/
https://www.npr.org/2022/03/31/1090067116/ukraine-mayor-says-russian-soldiers-who-kidnapped-him-knew-nothing-about-his-cou",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.15,"Mar, 15. Sanctions Wave #4: personal, investment, export, import, transport, trade privileges","Fourth round of sanctions introduced. Removal of trade privileges, investment, export, import, transport, personal sanctions. ",,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.15,"Mar, 15. Russia Enacts Partial Ban on Grain Exports",Russia Enacts Partial Ban on Grain Exports,"Russia announced additional restrictions on grain exports, enacting a partial ban effective March 15 through June 30. The move will further squeeze global wheat supplies at a time when Russia’s war with Ukraine is disrupting exports from the region. ",https://gro-intelligence.com/insights/russia-enacts-partial-ban-on-grain-exports-in-another-hit-to-global-wheat-supplies,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2022.03.15,,Shell hit a 16-storey apartment block in Kyiv,"At least five people were killed after a shell hit a 16-storey apartment block in the Sviatoshynskyi district of Kyiv, according to Ukrainian President Volodymyr Zelenskyy. Images shared on social media by the city’s mayor, Vitali Klitschko, showed the building engulfed in flames.",https://www.ukrinform.net/rubric-ato/3430015-2-killed-as-16storey-apartment-block-hit-in-kyiv.html,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.16,"Mar, 16.The Russian Armed Forces bombed the Drama Theatre in Mariupol, Ukraine. It was used as an air raid shelter during the siege of Mariupol.",Mariupol theater airstrike," the Russian Armed Force bombed the Donetsk Regional Drama Theatre in Mariupol, Ukraine. It was used as an air raid shelter during the siege of Mariupol, sheltering a large number of civilians.","https://en.wikipedia.org/wiki/Mariupol_theatre_airstrike
https://apnews.com/article/Russia-ukraine-war-mariupol-theater-c321a196fbd568899841b506afcac7a1",,,,,,,,,,,,,,,,1,,1,,,,1,,,,,1,
2022.03.16,,Russian attack killed 14 civilians in Chernihiv.,Russian attack killed 14 civilians in Chernihiv. Most of them were standing in line at a food store waiting for bread when a Russian air strike with eight unguided aerial bombs hit them,https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-16-march-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.03.18,,Russian missiles hit a plant on Lviv's outskirts in western Ukraine,"The strike targeted a repair facility for fighter jets. Ukrainian officials said missiles were launched from the Black Sea. On Lviv's historic square, 109 empty strollers were lined up in a visual installation, representing children killed in the war.","https://www.nytimes.com/2022/05/03/world/europe/lviv-ukraine-russia-missiles.html#:~:text=LVIV%2C%20Ukraine%20%E2%80%94%20Russian%20missiles%20struck,the%20east%20have%20sought%20refuge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.18,,Russian President Vladimir Putin made a rare public appearance at a stadium in Moscow,"Russian President Vladimir Putin made a rare public appearance at a stadium in Moscow, packed with thousands of flag-waving people and banners reading ""For Russia"" and ""For a World without Nazism."" He praised Russian fighters in what he calls the ""special military operation"" in Ukraine, saying the effort had united the country.",https://www.theguardian.com/world/2022/mar/18/putin-praises-russian-unity-at-rally-but-state-tv-broadcast-is-cut-off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.03.20,"Mar, 20. Russia bombs a Mariupol art school sheltering 400 civilians",Russian forces hit a shelter in Mariupol,"Russia bombed an art school sheltering about 400 people. Russian military forces struck the school in the besieged city of Mariupol, Ukrainian officials said. Ongoing shelling in the southeastern port city has prevented civilians from safely evacuating. According to the UN, more than 900 civilians have died since the invasion started.",https://www.npr.org/live-updates/russia-invades-ukraine-2022-03-20#russia-bombs-a-mariupol-art-school-sheltering-400-civilians-officials-say,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
